,Customer ID,frequency,recency,T,monetary_value,p_not_alive,p_alive,predicted_purchases,actual30,error,expected_avg_sales_,predicted_clv,profit_margin,Labels
0,12347.0,7.0,402.0,404.0,717.3985714285715,0.0006163778059496972,0.9993836221940503,0.5119390215595815,0.5223880597014926,0.010449038141911116,809.5435736572528,8446.919422787661,422.3459711393831,Low
1,12348.0,4.0,363.0,438.0,449.31,0.03448134380618728,0.9655186561938127,0.29801239122043477,0.3305785123966942,0.032566121176259455,561.1608043902602,3153.8276960607827,157.69138480303914,Low
2,12349.0,4.0,717.0,735.0,1107.1725,0.005234711925150792,0.9947652880748492,0.19625205658663913,0.16736401673640167,-0.028888039850237468,1382.3581989120173,5372.07375466507,268.6036877332535,Low
3,12352.0,8.0,356.0,392.0,218.1825,0.016044854775832063,0.9839551452241679,0.5779148128742554,0.6741573033707865,0.09624249049653111,242.40820181391862,2827.901846728881,141.39509233644407,Low
4,12353.0,1.0,204.0,408.0,89.0,0.11421535012817352,0.8857846498718265,0.12979442022980592,0.14705882352941177,0.01726440329960585,440.04123885184555,844.4270416068784,42.22135208034393,Low
5,12355.0,1.0,353.0,567.0,459.4,0.09771120793066423,0.9022887920693358,0.10011837361904811,0.08498583569405099,-0.015132537924997122,2252.119588203757,3448.7314867589744,172.43657433794874,Low
6,12356.0,5.0,402.0,424.0,1092.648,0.007640810927752373,0.9923591890722476,0.3726089336000545,0.373134328358209,0.000525394758154496,1299.63350852138,9568.561637111965,478.4280818555983,Low
7,12357.0,1.0,355.0,388.0,6207.67,0.010965342340246265,0.9890346576597537,0.1510142467383179,0.08450704225352113,-0.06650720448479677,30373.921999729435,74766.15162825804,3738.3075814129024,V_High
8,12358.0,4.0,730.0,731.0,614.3100000000001,0.00027500029185956176,0.9997249997081404,0.19819339219821794,0.1643835616438356,-0.03380983055438233,767.127203289863,3022.185413502118,151.1092706751059,Low
9,12359.0,12.0,727.0,734.0,662.85,0.0020312324874509624,0.997968767512549,0.487468922288812,0.4951856946354883,0.007716772346676282,710.0016745956985,7383.696441473646,369.1848220736823,Low
10,12360.0,7.0,603.0,655.0,584.9842857142856,0.01996078659627054,0.9800392134037295,0.33244414195832145,0.34825870646766166,0.015814564509340212,660.1497438205805,4458.7485912387965,222.93742956193984,Low
11,12361.0,3.0,395.0,682.0,134.01666666666668,0.2168169210320111,0.7831830789679889,0.13473611981717093,0.22784810126582278,0.09311198144865185,182.81437897033715,400.52660111827936,20.02633005591397,Low
12,12362.0,13.0,735.0,738.0,396.50615384615384,0.0008425214636881284,0.9991574785363119,0.521847671798941,0.5306122448979592,0.008764573099018236,422.431626128277,4724.0115677212125,236.20057838606064,Low
13,12363.0,1.0,133.0,242.0,252.9,0.05628398310945082,0.9437160168905492,0.2078853542720201,0.22556390977443608,0.017678555502415982,1241.8761239997352,3982.069463106005,199.10347315530026,Low
